类型,问题,正确答案,prompt
常识,以下哪种食品被称为四川的"灵魂"小吃?,A,"以下是单项选择题，请选出其中的正确答案。

以下哪种食品被称为四川的""灵魂""小吃?
A. 串串香
B. 螺蛳粉
C. 小笼包
D. 过桥米线
答案："
常识,在食品行业中，“麻辣烫”起源于哪个城市？,A,"以下是单项选择题，请选出其中的正确答案。

在食品行业中，“麻辣烫”起源于哪个城市？
A. 四川乐山
B. 湖南长沙
C. 重庆
D. 北京
答案："
常识,以下哪种奶茶是喜茶推出的？,C,"以下是单项选择题，请选出其中的正确答案。

以下哪种奶茶是喜茶推出的？
A. 福芙蓉
B. 香堤拉
C. 烤黑糖波波牛乳
D. 玫瑰桃冻
答案："
常识,“三全食品”发生非洲猪瘟事件在哪年？,C,"以下是单项选择题，请选出其中的正确答案。

“三全食品”发生非洲猪瘟事件在哪年？
A. 2017年
B. 2018年
C. 2019年
D. 2020年
答案："
常识,下列哪个汽车品牌在2021年发布了纯电动SUV "LYRIQ"？,C,"以下是单项选择题，请选出其中的正确答案。

下列哪个汽车品牌在2021年发布了纯电动SUV ""LYRIQ""？
A. 奥迪
B. 宝马
C. 凯迪拉克
D. 特斯拉
答案："
常识,以下哪个不是可口可乐公司旗下的产品？,C,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是可口可乐公司旗下的产品？
A. 雪碧
B. 芬达
C. 脉动
D. 美汁源
答案："
常识,2018年，哪部影片荣获第55届金马奖最佳剧情长片？,D,"以下是单项选择题，请选出其中的正确答案。

2018年，哪部影片荣获第55届金马奖最佳剧情长片？
A. 《无名之辈》
B. 《我不是药神》
C. 《红海行动》
D. 《大象席地而坐》
答案："
常识,以下哪个不是国产汽车品牌？,C,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是国产汽车品牌？
A. 阿维塔
B. 极越
C. 飞行家
D. 缤瑞cool
答案："
常识,以下哪个不是高端美妆品牌？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是高端美妆品牌？
A. 娇韵诗
B. SK-II
C. 兰蔻
D. 百雀羚
答案："
常识,以下哪个型号的手机是不存在的？,A,"以下是单项选择题，请选出其中的正确答案。

以下哪个型号的手机是不存在的？
A. OPPO Find X9
B. Realme GT neo 3
C. vivo S15e
D. 华为Mate 30 Pro
答案："
常识,以下哪个不是SK-II小灯泡主打的概念？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是SK-II小灯泡主打的概念？
A. 烟酰胺
B. 去皱纹
C. 淡斑
D. 美白
答案："
常识,以下哪个不是咖啡品牌“悠诗诗”的别称？,C,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是咖啡品牌“悠诗诗”的别称？
A. 优希西
B. 优诗诗
C. 优cc
D. ucc
答案："
常识,微博博主“使徒子”是哪个领域的网红,B,"以下是单项选择题，请选出其中的正确答案。

微博博主“使徒子”是哪个领域的网红
A. 运动
B. 动漫
C. 游戏
D. 科技
答案："
常识,以下明星谁没有和吴京合作过,C,"以下是单项选择题，请选出其中的正确答案。

以下明星谁没有和吴京合作过
A. 吴孟达
B. 杰森·斯坦森
C. 雷叶金
D. 洪金宝
答案："
常识,以下哪款口味没有出现在luckin的咖啡中,A,"以下是单项选择题，请选出其中的正确答案。

以下哪款口味没有出现在luckin的咖啡中
A. 米乳
B. 黑凤梨
C. 酱香
D. 碧螺春
答案："
常识,以下哪个不是汽车问界M5主打的卖点,A,"以下是单项选择题，请选出其中的正确答案。

以下哪个不是汽车问界M5主打的卖点
A. 省电
B. 空间
C. 加速
D. 里程
答案："
常识,以下美妆成分哪种不是同一品牌的主打,D,"以下是单项选择题，请选出其中的正确答案。

以下美妆成分哪种不是同一品牌的主打
A. 黑松露
B. 二裂酵母
C. 红石榴
D. 姜黄
答案："
常识,以下哪位不是中国化妆品创业公司“完美日记”的联合创始人？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪位不是中国化妆品创业公司“完美日记”的联合创始人？
A. 黄锦峰
B. 陈宇文
C. 吕建华
D. 钟睿
答案："
常识,下列哪个品牌不是国产彩妆中"四小龙"之一？,B,"以下是单项选择题，请选出其中的正确答案。

下列哪个品牌不是国产彩妆中""四小龙""之一？
A. 完美日记
B. 魔笛
C. 薇诺娜
D. 花西子
答案："
常识,关于食品安全法规定：“在农产品上市前28日内禁止使用含有毒素成分的农药”。那么以下哪种蔬菜涉及该规定？,A,"以下是单项选择题，请选出其中的正确答案。

关于食品安全法规定：“在农产品上市前28日内禁止使用含有毒素成分的农药”。那么以下哪种蔬菜涉及该规定？
A. 白菜
B. 糖果
C. 腰果
D. 火腿
答案："
常识,下列哪个是中国国内较早涌现并且备受欢迎的美妆品牌？,D,"以下是单项选择题，请选出其中的正确答案。

下列哪个是中国国内较早涌现并且备受欢迎的美妆品牌？
A. 资生堂
B. 雅诗兰黛
C. 植村秀
D. 百雀羚
答案："
常识,被誉为"中国口红第一股"的上市公司是哪家？,D,"以下是单项选择题，请选出其中的正确答案。

被誉为""中国口红第一股""的上市公司是哪家？
A. 兰蔻
B. 雅诗兰黛
C. 植村秀
D. 完美日记
答案："
常识,"""洛神山庄""是下列哪个葡萄酒品牌旗下的产品？",D,"以下是单项选择题，请选出其中的正确答案。

""洛神山庄""是下列哪个葡萄酒品牌旗下的产品？
A. 玛格丽特
B. 拉菲
C. 贝尔安第
D. 奔富
答案："
常识,下列哪个品牌没有推出过红色口红产品？,D,"以下是单项选择题，请选出其中的正确答案。

下列哪个品牌没有推出过红色口红产品？
A. MAC
B. Dior
C. NARS
D. 戴尔
答案："
常识,以下哪个化妆品品牌并非源自中国？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪个化妆品品牌并非源自中国？
A. 完美日记
B. 佰草集
C. 卡姿兰
D. Innisfree
答案："
常识,牛尔是台湾美妆界的大师级人物，那么以下哪本书不是他的作品？,C,"以下是单项选择题，请选出其中的正确答案。

牛尔是台湾美妆界的大师级人物，那么以下哪本书不是他的作品？
A. 《生尔18年:我的美丽之路》
B. 《牛尔的爱美书》
C. 《健康护肤宝典》
D. 《牛尔的爱美书-Ⅱ : 全面保养DIY》
答案："
常识,被誉为“中华白酒第一村”的是哪个地名？,A,"以下是单项选择题，请选出其中的正确答案。

被誉为“中华白酒第一村”的是哪个地名？
A. 山西汾阳
B. 山西晋中
C. 四川绵阳
D. 浙江宜兴
答案："
常识,下列哪个品牌并非源自于中国古代秘方？,B,"以下是单项选择题，请选出其中的正确答案。

下列哪个品牌并非源自于中国古代秘方？
A. 自然堂
B. 欧莱雅
C. 百草味
D. 珀莱雅
答案："
常识,鲍勃红磨坊是以下哪个国家的品牌？,C,"以下是单项选择题，请选出其中的正确答案。

鲍勃红磨坊是以下哪个国家的品牌？
A. 日本
B. 德国
C. 美国
D. 中国
答案："
常识,蒙牛在2022年全国营养科学大会时发布了何种益生菌？,B,"以下是单项选择题，请选出其中的正确答案。

蒙牛在2022年全国营养科学大会时发布了何种益生菌？
A. 嗜热链球菌
B. 中国母乳源活性益生菌M8
C. 枯草芽孢杆菌
D. 乳酸弹性体菌
答案："
常识,"""三全食品猪瘟病毒事件""中，哪种食品被检测出含有猪瘟病毒？",A,"以下是单项选择题，请选出其中的正确答案。

""三全食品猪瘟病毒事件""中，哪种食品被检测出含有猪瘟病毒？
A. 三全灌汤水饺
B. 三全凤爪
C. 三全豆腐干
D. 三全鱼丸
答案："
常识,以下哪款中国国产啤酒含有"菊花麦"原料？,C,"以下是单项选择题，请选出其中的正确答案。

以下哪款中国国产啤酒含有""菊花麦""原料？
A. 青岛啤酒
B. 哈尔滨啤酒
C. 燕京啤酒
D. 珠江啤酒
答案："
常识,下列哪位企业家并非是中国食品饮料行业的知名人物？,D,"以下是单项选择题，请选出其中的正确答案。

下列哪位企业家并非是中国食品饮料行业的知名人物？
A. 朱新礼（汇源果汁）
B. 赵启三（金丝猴集团）
C. 宗庆后（娃哈哈）
D. 许连捷（恒安国际集团）
答案："
常识,下列哪个企业未在2018年进入中国食品饮料行业市场份额前五？,A,"以下是单项选择题，请选出其中的正确答案。

下列哪个企业未在2018年进入中国食品饮料行业市场份额前五？
A. 科大讯飞
B. 蒙牛
C. 伊利
D. 娃哈哈
答案："
常识,"""李子柒""以传统中餐和自然生活方式而受到大众喜爱。请问她首支在YouTube上发布的视频是关于什么食物制作的？",B,"以下是单项选择题，请选出其中的正确答案。

""李子柒""以传统中餐和自然生活方式而受到大众喜爱。请问她首支在YouTube上发布的视频是关于什么食物制作的？
A. 芝麻糊
B. 葡萄皮
C. 辣椒酱
D. 八宝饭
答案："
常识,“农夫山泉有点甜”这句广告语所属的公司在2000年因为何原因停产？,A,"以下是单项选择题，请选出其中的正确答案。

“农夫山泉有点甜”这句广告语所属的公司在2000年因为何原因停产？
A. 产品质量问题
B. 股权纷争
C. 自然灾害影响生产线
D. 没有通过食品卫生许可证审批
答案："
常识,下列哪个是中国首家上市的餐饮公司？,B,"以下是单项选择题，请选出其中的正确答案。

下列哪个是中国首家上市的餐饮公司？
A. 海底捞火锅
B. 同庆楼
C. 大家乐集团
D. 呷哺呷哺小火锅
答案："
常识,中国国家食品药品监督管理总局在2018年发布的《中华人民共和国食品安全法》规定中，关于快餐汉堡包制作中，哪种食品添加剂是不被允许使用的？,C,"以下是单项选择题，请选出其中的正确答案。

中国国家食品药品监督管理总局在2018年发布的《中华人民共和国食品安全法》规定中，关于快餐汉堡包制作中，哪种食品添加剂是不被允许使用的？
A. 甜味剂-山梨酸钾
B. 增稠剂-海藻糖醇
C. 色素-胭脂红
D. 抗氧化剂-丁羟基苯甲酸异辛酯
答案："
常识,被誉为中国奶业第一品牌的是以下哪个品牌？,B,"以下是单项选择题，请选出其中的正确答案。

被誉为中国奶业第一品牌的是以下哪个品牌？
A. 光明
B. 伊利
C. 蒙牛
D. 三元
答案："
常识,以下哪个品牌不属于中国白酒四大名酒？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪个品牌不属于中国白酒四大名酒？
A. 茅台
B. 五粮液
C. 洋河
D. 剑南春
答案："
常识,以下哪位不是中国化妆品行业的知名人物？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪位不是中国化妆品行业的知名人物？
A. 周群飞
B. 秦晖
C. 李琳
D. 张琳芃
答案："
常识,以下哪款产品并非李宇春代言的美妆品牌“MAC”的主打商品？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪款产品并非李宇春代言的美妆品牌“MAC”的主打商品？
A. Russian Red
B. 玫瑰金蜜粉饼
C. 黑魔杖口红
D. 魅可无痕锁妆喷雾
答案："
常识,以下哪位名人未曾代言过美妆品牌MAC？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪位名人未曾代言过美妆品牌MAC？
A. 张艺兴
B. 刘雯
C. lisa
D. 王嘉尔
答案："
常识,以下哪款产品不属于雅诗兰黛集团旗下？,D,"以下是单项选择题，请选出其中的正确答案。

以下哪款产品不属于雅诗兰黛集团旗下？
A. TOM FORD 汤姆福特
B. MAC 魅可
C. 倩碧
D. 薇姿
答案："
常识,“让肌肤重回平衡快乐状态”是哪个美妆品牌的重要理念？,B,"以下是单项选择题，请选出其中的正确答案。

“让肌肤重回平衡快乐状态”是哪个美妆品牌的重要理念？
A. 雅诗兰黛
B. TULA图拉
C. SK-II
D. 兰蔻
答案："
常识,以下哪家公司在2019年因虚假宣传被消协投诉？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪家公司在2019年因虚假宣传被消协投诉？
A. 雀巢
B. 茶百道
C. 可口可乐
D. 完达山
答案："
常识,以下哪款饮料不属于可口可乐在中国市场上的产品？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪款饮料不属于可口可乐在中国市场上的产品？
A. 冰露纯净水
B. 健力宝
C. 芬达
D. 美汁源果粒奶优
答案："
常识,以下哪个是中国美妆品牌卡姿兰旗下面膜系列？,A,"以下是单项选择题，请选出其中的正确答案。

以下哪个是中国美妆品牌卡姿兰旗下面膜系列？
A. 巨藻深润高山玫瑰保湿面膜
B. 绿宝特氏金装驻颜精华面膜
C. 兰蔻小黑瓶修复面膜
D. 肌美精3D弹力提拉耳挂式面膜
答案："
常识,中国哪个美妆品牌发布了兼具口红妆效、唇部精华功效和唇膜于一体的“仿生膜”精华口红？,A,"以下是单项选择题，请选出其中的正确答案。

中国哪个美妆品牌发布了兼具口红妆效、唇部精华功效和唇膜于一体的“仿生膜”精华口红？
A. 完美日记
B. 肌肤之钥
C. 珀莱雅
D. 芭沐斯
答案："
常识,以下哪款不是百事可乐在中国市场销售的产品？,A,"以下是单项选择题，请选出其中的正确答案。

以下哪款不是百事可乐在中国市场销售的产品？
A. 美汁源果粒奶优
B. 美年达
C. 七喜
D. 立顿茶
答案："
常识,以下哪个品牌在2021年占据中国护肤品市场的份额最大？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪个品牌在2021年占据中国护肤品市场的份额最大？
A. YSL
B. 兰蔻
C. 迪奥
D. 雅诗兰黛
答案："
常识,以下哪项事件是在中国美妆行业中发生过的？,C,"以下是单项选择题，请选出其中的正确答案。

以下哪项事件是在中国美妆行业中发生过的？
A. 雀巢收购星巴克零售业务
B. 周大福入股珍宝岛
C. 阿玛尼香水在北京悠唐店举办新品发布会
D. 海尔集团创立智能化茶饮品牌
答案："
常识,玛丽黛佳（Marie Dalgar）是哪个集团旗下的子品牌？,C,"以下是单项选择题，请选出其中的正确答案。

玛丽黛佳（Marie Dalgar）是哪个集团旗下的子品牌？
A. 欧莱雅
B. 雅诗兰黛
C. 爱茉莉
D. 宝洁
答案："
常识,哪位明星并非是施华洛世奇品牌的代言人？,C,"以下是单项选择题，请选出其中的正确答案。

哪位明星并非是施华洛世奇品牌的代言人？
A. 江疏影
B. 唐嫣
C. 范晓萱
D. 王一博
答案："
常识,以下哪款化妆品不是迪奥(Dior)旗下产品？,C,"以下是单项选择题，请选出其中的正确答案。

以下哪款化妆品不是迪奥(Dior)旗下产品？
A. 魅惑润唇蜜
B. 口红999系列
C. 小黑瓶眼霜
D. 迪奥小姐花漾淡香氛
答案："
常识,以下哪种饮品并非由中国明星周冬雨代言？,C,"以下是单项选择题，请选出其中的正确答案。

以下哪种饮品并非由中国明星周冬雨代言？
A. 伊利优酸乳
B. RIO微醺
C. 养乐多
D. 百事可乐
答案："
常识,下列哪款奶茶品牌不是在2018年进入中国市场？,D,"以下是单项选择题，请选出其中的正确答案。

下列哪款奶茶品牌不是在2018年进入中国市场？
A. 贡茶
B. 熊猫泡芙
C. 加多宝果茶捞
D. 一点点
答案："
常识,中国收入最高的美妆主播是谁？,A,"以下是单项选择题，请选出其中的正确答案。

中国收入最高的美妆主播是谁？
A. 李佳琦
B. 薇娅
C. 口红一哥
D. Molly朱茵
答案："
常识,2019年底受到新冠疫情影响，在线直播带货在中国开始兴起。以下哪位不是知名的美妆直播卖货人？,D,"以下是单项选择题，请选出其中的正确答案。

2019年底受到新冠疫情影响，在线直播带货在中国开始兴起。以下哪位不是知名的美妆直播卖货人？
A. 薇娅
B. 李佳琦
C. 晁然
D. 黄健翔
答案："
常识,谁是中国第一个以自家名字命名并成功创建美妆品牌的人？,B,"以下是单项选择题，请选出其中的正确答案。

谁是中国第一个以自家名字命名并成功创建美妆品牌的人？
A. 李东健
B. 毛戈平
C. 华少
D. 吴淼
答案："
常识,以下哪款口红是雅诗兰黛旗下产品？,B,"以下是单项选择题，请选出其中的正确答案。

以下哪款口红是雅诗兰黛旗下产品？
A. 橘朵弹润染色唇膏
B. 绝色由我缎光唇膏
C. 花漾美人玩色派对水吉唇釉
D. 锁色护理唇彩
答案："
常识,哪款咖啡品牌并未发展固态瓶装咖啡产品？,D,"以下是单项选择题，请选出其中的正确答案。

哪款咖啡品牌并未发展固态瓶装咖啡产品？
A. 星巴克
B. 雀巢
C. Costa
D. 三顿半
答案："
常识,六神花露水由哪家公司生产？,D,"以下是单项选择题，请选出其中的正确答案。

六神花露水由哪家公司生产？
A. 上海雅宝化工有限公司
B. 常州市佳洁日用品厂
C. 深圳舒肤佳实业有限公司
D. 上海家化联合股份有限公司
答案："
常识,因雀思听云柔氨基酸保湿洁面膏是哪家品牌的产品？,C,"以下是单项选择题，请选出其中的正确答案。

因雀思听云柔氨基酸保湿洁面膏是哪家品牌的产品？
A. 丹姿
B. 自然堂
C. 百雀羚
D. 欧莱雅
答案："
常识,在中国市场上，“沁柠水”系列饮品是哪家公司生产？,A,"以下是单项选择题，请选出其中的正确答案。

在中国市场上，“沁柠水”系列饮品是哪家公司生产？
A. 三得利
B. 恒大冰泉
C. 华润雪花
D. 喜力啤酒
答案："
